Origin_airport,Destination_airport,Numtimes,Passengers,Seats,Flights,Distance,Origin_population,Destination_population
MDW,GYY,1,6,199,1,21,19031272,9515636
RFD,RNO,2,258,280,2,1609,353381,416657
CMI,RNO,1,94,150,1,1668,223998,416657
PIA,RNO,1,127,130,1,1589,372638,416657
SPI,RNO,3,384,430,3,1597,207305,416657
MDW,RNO,12,42455,49585,362,1680,19031272,416657
ORD,RNO,15,55080,67714,361,1671,19031272,416657
ORD,CAK,29,37025,48576,968,344,19031272,699954
MDW,CAK,2,169,398,2,334,19031272,699954
RFD,CAK,1,121,173,1,406,353381,699954
BMI,FAR,1,109,124,1,594,165571,195948
MWA,FAR,1,126,173,1,747,64605,195948
ORD,FAR,17,43793,65060,1298,557,19031272,195948
ORD,FNT,29,44218,59259,1209,223,19031272,428859
MDW,FNT,1,51,199,1,221,19031272,428859
ORD,MIA,51,592290,676440,3961,1197,19031272,11003504
MDW,MIA,9,13716,18152,133,1182,19031272,11003504
RFD,HIF,1,125,250,1,1183,353381,530998
MWA,OMA,1,37,50,1,441,64605,839265
PIA,OMA,1,45,50,1,327,372638,839265
ORD,OMA,120,270287,340761,4275,416,19031272,839265
MDW,OMA,36,195792,275741,2029,423,19031272,839265
ORD,PVU,1,140,150,1,1245,19031272,539754
ORD,TPA,33,299631,359380,2410,1012,19031272,2730007
MDW,TPA,32,183291,301081,2198,997,19031272,2730007
ORD,TUL,71,146741,219491,2728,585,19031272,916037
MDW,TUL,2,117,274,2,583,19031272,916037
ORD,ALB,81,148155,185510,2515,723,19031272,854301
MDW,ALB,25,63953,97931,715,717,19031272,854301
ORD,AUS,53,233513,306828,2771,978,19031272,1654100
MDW,AUS,28,59063,97210,710,972,19031272,1654100
ORD,BGR,3,383,429,3,978,19031272,149268
MDW,BGR,2,160,297,2,974,19031272,149268
MDW,BOS,9,29283,40298,345,861,19031272,9089410
ORD,BOS,99,775762,978428,6817,867,19031272,9089410
MDW,CPR,1,52,160,1,959,19031272,73057
ORD,CPR,6,3343,6716,134,949,19031272,73057
RFD,DFW,1,239,250,1,775,353381,12602170
CMI,DFW,14,11996,17932,359,693,223998,12602170
ORD,DFW,119,901907,1096775,8211,802,19031272,12602170
ORD,DAL,26,28382,49309,982,798,19031272,12602170
MDW,DAL,7,360,891,7,793,19031272,12602170
MDW,DFW,5,27393,42085,246,797,19031272,12602170
ORD,AFW,1,130,140,1,806,19031272,12602170
PIA,DFW,19,25771,30840,618,673,372638,12602170
BMI,DFW,4,2291,2882,58,690,165571,12602170
SPI,DAL,1,25,50,1,626,207305,12602170
ORD,DAY,103,121164,174667,2671,240,19031272,837036
MDW,DAY,2,116,342,2,226,19031272,837036
ORD,DLH,1,82,125,1,397,19031272,275188
ORD,HLN,1,29,66,1,1231,19031272,72444
ORD,JNU,1,269,314,2,2297,19031272,30991
ORD,LAW,1,42,50,1,766,19031272,112249
PIA,LAW,1,74,148,1,636,372638,112249
CMI,LAW,1,23,50,1,673,223998,112249
PIA,MWA,1,47,50,1,204,372638,64605
ORD,MOB,12,7105,10311,204,779,19031272,409132
ORD,EWR,148,674068,866346,6813,719,19031272,18968501
MDW,EWR,17,11918,21428,264,711,19031272,18968501
MWA,PIA,1,47,50,1,204,64605,372638
ORD,PIA,57,93456,153501,3040,130,19031272,372638
DEC,UIN,1,5,38,2,124,108326,76782
MDW,SLN,1,134,150,1,562,19031272,60102
RFD,TCM,5,652,1510,7,1667,353381,3356637
SPI,TOL,1,90,130,1,331,207305,673345
ORD,TOL,31,34960,61960,1262,214,19031272,673345
MDW,TOL,1,72,199,1,205,19031272,673345
RFD,FOE,4,873,1674,7,412,353381,229774
RFD,DMA,1,116,200,1,1381,353381,1009832
ORD,TUS,13,98433,117811,844,1437,19031272,1009832
MDW,TUS,13,70931,98777,721,1440,19031272,1009832
ORD,CWA,53,43114,78497,1604,213,19031272,131043
PIA,ABI,1,45,50,1,794,372638,159059
ORD,ATL,174,698572,913337,7561,606,19031272,5385586
MDW,ATL,55,430052,570114,5874,590,19031272,5385586
BMI,ATL,37,151690,203097,2463,533,165571,5385586
PIA,ATL,13,24656,30843,615,564,372638,5385586
ORD,BZN,17,23391,29616,332,1186,19031272,89812
ORD,BUF,87,233343,279435,3322,473,19031272,1124055
MDW,BUF,34,124935,171496,1261,468,19031272,1124055
MDH,ORD,1,120,120,1,298,58151,19031272
PIA,ORD,66,99201,155853,3072,130,372638,19031272
UIN,MDW,1,43,199,1,221,76782,19031272
PIA,MDW,2,300,411,3,127,372638,19031272
ORD,ORD,7,408,560,8,0,19031272,19031272
ORD,MDW,3,249,339,3,16,19031272,19031272
MDW,MDW,1,27,70,1,0,19031272,19031272
MDW,ORD,7,516,742,9,16,19031272,19031272
CMI,ORD,32,67963,111499,2279,135,223998,19031272
RFD,ORD,35,5703,6689,50,63,353381,19031272
RFD,MDW,2,35,236,2,75,353381,19031272
SPI,ORD,49,37279,71103,1428,174,207305,19031272
SPI,MDW,1,94,199,1,168,207305,19031272
BMI,ORD,46,65990,91898,1841,116,165571,19031272
BMI,DTW,12,19817,30464,896,314,165571,8847562
PIA,DTW,13,24117,33684,674,346,372638,8847562
CMI,DTW,14,15806,24361,708,298,223998,8847562
CMI,YIP,2,121,200,4,290,223998,8847562
ORD,DTW,195,629359,843028,7414,235,19031272,8847562
MDW,DTW,77,302998,458350,3848,229,19031272,8847562
MDW,YIP,2,83,150,3,220,19031272,8847562
ORD,DBQ,32,36023,59132,1258,147,19031272,92589
ORD,ELP,13,64867,90492,648,1236,19031272,738416
MDW,ELP,1,43,199,1,1237,19031272,738416
RFD,BIF,1,213,250,1,1189,353381,738416
ORD,IAH,168,511714,651493,5645,925,19031272,5726705
MDW,HOU,31,198470,271584,1989,937,19031272,5726705
ORD,EFD,3,225,520,3,944,19031272,5726705
MDW,IAH,1,123,136,1,917,19031272,5726705
MDW,JAN,29,45572,92012,673,666,19031272,537194
ORD,JAN,12,7210,10351,207,677,19031272,537194
ORD,JAC,24,52718,69718,449,1162,19031272,29573
ORD,OGG,12,60972,76117,219,4184,19031272,144378
ORD,LAN,33,35460,64616,1288,179,19031272,454605
MDW,LAN,2,97,249,2,176,19031272,454605
CMI,LAN,3,139,200,4,269,223998,454605
ORD,LNK,19,52784,68882,1342,466,19031272,294665
RFD,LNK,1,117,150,1,408,353381,294665
PIA,LNK,1,44,50,1,371,372638,294665
ORD,LBB,1,132,140,1,951,19031272,271582
CMI,MSN,4,273,373,5,221,223998,562065
ORD,MSN,95,158143,255624,5010,109,19031272,562065
ORD,MEM,115,183915,274241,3917,491,19031272,1298529
MDW,MEM,2,79,113,2,480,19031272,1298529
MDW,OAK,20,178891,243330,1763,1844,19031272,4260236
ORD,OAK,4,5400,7566,60,1835,19031272,4260236
BMI,MCO,15,17346,20344,172,936,165571,2060968
PIA,SFB,8,9175,10800,72,949,372638,2060968
RFD,SFB,12,25207,26850,179,1025,353381,2060968
ORD,MCO,58,505851,575329,3746,1005,19031272,2060968
MDW,MCO,52,335623,473518,3515,989,19031272,2060968
MDW,SFB,1,172,173,1,969,19031272,2060968
ORD,PHX,73,654225,741664,5044,1440,19031272,4287323
MDW,PHX,23,303148,378125,2764,1444,19031272,4287323
RFD,AZA,9,10819,11700,78,1373,353381,4287323
MWA,AZA,1,40,150,1,1309,64605,4287323
PIA,AZA,9,10580,11700,78,1312,372638,4287323
ORD,RDU,79,282209,358351,3208,647,19031272,1090408
MDW,RDU,29,112938,183006,1337,632,19031272,1090408
ORD,ROA,38,34149,62986,1245,531,19031272,298920
ORD,MBS,29,33725,61462,1227,222,19031272,200858
MDW,SEA,16,139290,181200,1323,1733,19031272,6713274
ORD,SEA,97,634898,734595,4739,1721,19031272,6713274
ORD,BFI,1,57,68,1,1720,19031272,6713274
MDW,BFI,2,128,295,2,1733,19031272,6713274
ORD,GEG,31,32101,39919,324,1498,19031272,462408
CMI,ICT,1,23,50,1,520,223998,603205
RFD,ICT,1,131,150,1,542,353381,603205
ORD,ICT,80,111309,166409,2850,588,19031272,603205
MDW,ICT,2,277,300,2,589,19031272,603205
PIA,ICT,1,88,100,2,465,372638,603205
ORD,AMA,1,62,70,1,879,19031272,243682
CMI,ANB,1,102,137,1,465,223998,113422
ORD,ATW,45,68105,113394,2097,160,19031272,219780
MDW,ATW,1,51,199,1,175,19031272,219780
ORD,BPT,1,115,124,1,897,19031272,377477
MDW,BIL,1,92,137,1,1073,19031272,152320
ORD,BIL,8,5435,7232,107,1060,19031272,152320
ORD,BIS,1,179,198,3,716,19031272,104629
MDW,CYS,1,128,137,1,885,19031272,87759
ORD,CYS,1,231,244,1,877,19031272,87759
ORD,CAE,20,43333,64895,1293,666,19031272,732558
MDW,CSG,1,72,76,1,658,19031272,287251
MDW,GTR,1,54,160,1,577,19031272,59225
CMI,CMH,3,118,224,4,287,223998,1779822
CMI,LCK,1,134,173,1,285,223998,1779822
ORD,CMH,122,309036,392814,5571,296,19031272,1779822
MDW,CMH,42,228099,355086,2614,284,19031272,1779822
ORD,LCK,1,137,173,1,300,19031272,1779822
RFD,GPT,4,494,712,4,813,353381,236155
ORD,GPT,15,5999,10796,214,800,19031272,236155
ORD,BDL,113,270363,340799,3330,783,19031272,1191170
MDW,BDL,33,98904,142637,1044,777,19031272,1191170
ORD,HNL,25,159835,184902,632,4243,19031272,902745
MDW,EYW,1,50,50,1,1236,19031272,73298
ORD,GGG,1,132,140,1,760,19031272,204496
ORD,MSO,5,5848,6996,106,1332,19031272,107552
ORD,MTJ,7,2327,2886,28,1081,19031272,40484
ORD,LGA,90,1088249,1408436,9985,733,19031272,37937002
ORD,JFK,117,272013,362778,4020,740,19031272,37937002
MDW,LGA,15,92898,159980,2219,725,19031272,37937002
ORD,PWM,26,62585,79284,1202,900,19031272,516026
MDW,PDX,15,91157,120688,881,1751,19031272,2203745
ORD,PDX,46,316438,359099,2359,1739,19031272,2203745
ORD,RIC,80,149121,219840,3450,642,19031272,1227115
MDW,RFD,2,293,300,2,75,19031272,353381
RFD,RFD,1,80,200,1,0,353381,353381
PIA,RFD,1,141,150,1,110,372638,353381
ORD,SJC,39,155279,182306,1300,1829,19031272,1810646
MDW,SJC,12,63482,89854,656,1838,19031272,1810646
ORD,SAV,33,53776,72150,1095,773,19031272,334562
ORD,AVP,27,28234,33878,675,631,19031272,549321
ORD,SYR,103,146437,190459,3424,607,19031272,645016
MDW,SYR,1,32,50,1,602,19031272,645016
BMI,ALO,1,64,100,2,230,165571,163659
MWA,ALO,1,75,100,2,377,64605,163659
ORD,ALO,1,45,50,1,234,19031272,163659
ORD,ABE,47,53744,72636,1349,654,19031272,811669
MDW,ABE,1,40,70,1,646,19031272,811669
ORD,ANC,20,74933,92612,555,2846,19031272,365790
RFD,ANC,2,236,410,2,2795,353381,365790
ORD,BWI,85,304905,384351,3459,622,19031272,2677712
MDW,BWI,36,276843,375205,2754,611,19031272,2677712
SPI,CMI,1,22,50,1,76,207305,223998
BMI,CMI,2,46,68,2,46,165571,223998
ORD,CMI,31,67747,111074,2271,135,19031272,223998
ORD,CLT,205,539233,640127,6803,599,19031272,1706469
MDW,CLT,2,799,1580,14,584,19031272,1706469
ORD,CLE,174,341168,426250,6047,316,19031272,2094051
MDW,CLE,50,237059,341215,2732,307,19031272,2094051
ORD,BKL,3,248,504,3,323,19031272,2094051
MDW,BKL,1,51,138,1,315,19031272,2094051
ORD,GRB,74,106225,169973,3389,174,19031272,302322
MDW,GRB,1,65,199,1,188,19031272,302322
ORD,AZO,41,53735,106213,2150,122,19031272,324135
ORD,FCA,5,5705,6996,106,1352,19031272,89104
